route_short_name,route_long_name,dirName,dirTag,dirTitle,branch
11,11-Bayview,South,11_0_11A,South - 11 Bayview towards Davisville Station via Sunnybrook,11
110,110-Islington South,North,110_1_110C,North - 110c Islington South towards Islington Station,110C
110,110-Islington South,North,110_1_110B,North - 110b Islington South towards Islington Station via 30th Street and Horner,110B
110,110-Islington South,South,110_0_110C,South - 110c Islington South towards Kipling and Lake Shore,110C
110,110-Islington South,North,110_1_110A,North - 110a Islington South towards Islington Station via Browns Line and Horner,110A
110,110-Islington South,South,110_0_110B,South - 110b Islington South towards Long Branch via Horner and 30th Street,110B
110,110-Islington South,South,110_0_110A,South - 110a Islington South towards Long Branch via Horner and Browns Line,110A
111,111-East Mall,North,111_1_111,North - 111 East Mall towards Eglinton,111
111,111-East Mall,South,111_0_111,South - 111 East Mall towards Kipling Station,111
112,112-West Mall,South,112_0_112Cp,South - 112 West Mall towards Kipling Station,112
112,112-West Mall,North,112_1_112Ca,North - 112c West Mall towards Disco Rd,112C
113,113-Danforth Road,East,113_0_113,East - 113 Danforth Road towards Kennedy Station,113
113,113-Danforth Road,West,113_1_113,West - 113 Danforth Road towards Main Street Station,113
115,115-Silver Hills,West,115_1_115,West - 115 Silver Hills towards York Mills Station,115
115,115-Silver Hills,East,115_0_115,East - 115 Silver Hills towards Leslie,115
116,116-Morningside,West,116_1_116,West - 116 Morningside towards Kennedy Station,116
116,116-Morningside,East,116_0_116am*,East - 116 Morningside towards Finch,116
118,118-Thistle Down,East,118_0_118a,East - 118 Thistle Down towards Wilson Station via Tandridge,118
118,118-Thistle Down,West,118_1_118p,West - 118 Thistle Down towards Thistle Down via Tandridge,118
118,118-Thistle Down,West,118_1_118a,West - 118 Thistle Down towards Thistle Down,118
118,118-Thistle Down,East,118_0_118p,East - 118 Thistle Down towards Wilson Station,118
119,119-Torbarrie,West,119_1_119p,West - 119 Torbarrie towards Torbarrie and Clayson,119
119,119-Torbarrie,West,119_1_119a,West - 119 Torbarrie towards Torbarrie and Clayson,119
119,119-Torbarrie,East,119_0_119p,East - 119 Torbarrie towards Wilson Stn,119
119,119-Torbarrie,East,119_0_119a,East - 119 Torbarrie towards Wilson Stn,119
12,12-Kingston Road,West,12_1_NMVI,West - 12e Kingston Rd Express towards Victoria Park Station,12E
12,12-Kingston Road,East,12_0_12D,East - 12d Kingston Rd towards U of T Scarborough,12D
12,12-Kingston Road,West,12_1_12D,West - 12 Kingston Rd towards Victoria Park Station,12
12,12-Kingston Road,East,12_0_12C,East - 12c Kingston Rd towards St Clair and Barkdene Hills,12C
12,12-Kingston Road,East,12_0_12B,East - 12b Kingston Rd towards Kennedy Station via Brimley,12B
12,12-Kingston Road,East,12_0_12A,East - 12a Kingston Rd towards Kennedy Station via Variety Village and Brimley,12A
12,12-Kingston Road,West,12_1_12Bam*,West - 12b Kingston Rd towards Victoria Park Station via Brimley,12B
12,12-Kingston Road,West,12_1_12Aam*,West - 12a Kingston Rd towards Victoria Park Station via Brimley and Variety Village,12A
12,12-Kingston Road,East,12_0_12Cam,East - 12c Kingston Rd towards St Clair and Barkdene Hills,12C
120,120-Calvington,East,120_0_120,East - 120 Calvington towards Wilson Station,120
120,120-Calvington,West,120_1_120,West - 120 Calvington towards Sheppard/Jane,120
121,121-Esplanade-River,West,121_1_121,West - 121 Esplanade-River towards Union Station,121
121,121-Esplanade-River,East,121_0_121,East - 121 Esplanade-River towards Broadview,121
122,122-Graydon Hall,East,122_0_122,East - 122 Graydon Hall towards Roywood via Lesmill,122
122,122-Graydon Hall,West,122_1_122,West - 122 Graydon Hall towards York Mills Station,122
123,123-Sherway,North,123_1_123C,North - 123c Sherway towards Kipling Station via North Queen and Shorncliffe,123C
123,123-Sherway,South,123_0_123C,South - 123c Sherway towards Long Branch via Shorncliffe and North Queen,123C
123,123-Sherway,North,123_1_123B,North - 123b Sherway towards Kipling Station via East Mall and Shorncliffe,123B
123,123-Sherway,South,123_0_123B,South - 123b Sherway towards Long Branch via Shorncliffe and East Mall,123B
123,123-Sherway,North,123_1_123F,North - 123f Sherway towards Kipling Station via West Mall,123F
123,123-Sherway,South,123_0_123F,South - 123f Sherway towards Sherway via West Mall,123F
124,124-Sunnybrook,East,124_0_124Con,East - 124 Sunnybrook towards Sunnybrook Hospital via Lawrence Station,124
124,124-Sunnybrook,West,124_1_124Con,West - 124 Sunnybrook towards Avenue Rd (Roe Loop) via Lawrence Station,124
125,125-Drewry,West,125_1_125,West - 125 Drewry towards Bathurst (Torresdale),125
125,125-Drewry,East,125_0_125,East - 125 Drewry towards Finch Station,125
126,126-Christie,South,126_0_126Con,South - 126 Christie towards Christie Station,126
126,126-Christie,North,126_1_126Con,North - 126 Christie towards St Clair West Station,126
127,127-Davenport,West,127_1_127,West - 127 Davenport towards St Clair & Old Weston Rd,127
127,127-Davenport,East,127_0_127,East - 127 Davenport towards Spadina Station,127
128,128-Stanley Greene,West,128_1_128,West - 128 Stanley Greene towards Wilson Station,128
128,128-Stanley Greene,East,128_0_128,East - 128 Stanley Greene towards Stanley Greene Blvd,128
129,129-McCowan North,North,129_1_129A,North - 129a McCowan North towards Major Mackenzie via Scarborough Ctr Stn Extra Fare Required North of Steeles,129A
129,129-McCowan North,South,129_0_129A,South - 129 McCowan North towards Kennedy Stn via Scarborough Ctr Stn Extra Fare Required North of Steeles,129
13,13-Avenue Road,South,13_0_13B,South - 13b Avenue Rd towards Gerrard,13B
13,13-Avenue Road,North,13_1_13B,North - 13 Avenue Rd towards Eglinton Station,13
130,130-Middlefield,South,130_0_130B,South - 130b Middlefield towards Scarborough Centre via Maybrook,130B
130,130-Middlefield,South,130_0_130A,South - 130a Middlefield towards Scarborough Centre,130A
130,130-Middlefield,North,130_1_130B,North - 130b Middlefield towards Steeles via Maybrook,130B
130,130-Middlefield,North,130_1_130A,North - 130a Middlefield towards Steeles,130A
131,131-Nugget,East,131_1_131r,East - 131 Nugget towards Old Finch/Morningview via Scarborough Centre,131
131,131-Nugget,West,131_0_131r,West - 131 Nugget towards Kennedy Stn via Scarborough Centre,131
131,131-Nugget,West,131_0_131,West - 131 Nugget towards Kennedy Stn via Scarborough Centre,131
132,132-Milner,West,132_0_132,West - 132 Milner towards Scarborough Centre,132
132,132-Milner,East,132_1_132,East - 132 Milner towards McLevin & Hupfield,132
133,133-Neilson,North,133_1_133,North - 133 Neilson towards Morningside Heights via Scarborough Centre Stn and Centenary,133
133,133-Neilson,South,133_0_133*,South - 133 Neilson towards Kennedy Stn via Centenary and Scarborough Centre Stn,133
134,134-Progress,North,134_1_134D,North - 134d Progress towards Finch via Centennial College and Tapscott,134D
134,134-Progress,South,134_0_134Dr,South - 134 Progress towards Scarborough Centre via Centennial College,134
134,134-Progress,North,134_1_134Dr,North - 134d Progress towards Finch via Centennial College and Crow Trail,134D
134,134-Progress,North,134_1_134Bam,North - 134b Progress towards McNicoll via Tapscott,134B
134,134-Progress,South,134_0_134D,South - 134 Progress towards Scarborough Centre via Centennial College,134
134,134-Progress,North,134_1_134Bpm,North - 134b Progress towards McNicoll via Tapscott,134B
135,135-Gerrard,West,135_1_135,West - 135 Gerrard towards Main Street Station,135
135,135-Gerrard,East,135_0_135,East - 135 Gerrard towards Warden Station,135
14,14-Glencairn,West,14_1_14,West - 14 Glencairn towards Caledonia,14
14,14-Glencairn,East,14_0_14,East - 14 Glencairn towards Davisville Station,14
15,15-Evans,West,15_0_15,West - 15 Evans towards Sherway,15
15,15-Evans,East,15_1_15,East - 15 Evans towards Royal York Station,15
16,16-McCowan,North,16_1_16,North - 16 McCowan towards Scarborough Centre,16
16,16-McCowan,South,16_0_16dd,South - 16 McCowan towards Danforth Ave,16
160,160-Bathurst North,North,160_1_160xWI,North - 160 Bathurst North towards Centre Street Extra Fare Required North of Steeles,160
160,160-Bathurst North,South,160_0_160,South - 160 Bathurst North towards Wilson Station Extra Fare Required North of Steeles,160
161,161-Rogers Road,West,161_1_161,West - 161 Rogers Rd towards Jane,161
161,161-Rogers Road,East,161_0_161,East - 161 Rogers Rd towards Ossington Station,161
162,162-Lawrence-Donway,East,162_0_162con,East - 162 Lawrence-Donway towards Don Mills via Lawrence Station,162
162,162-Lawrence-Donway,West,162_1_162con,West - 162 Lawrence-Donway towards Avenue Road (Roe Loop) via Lawrence Station,162
165,165-Weston Rd. North,East,165_0_SIYK*wi,East - 165 Weston Rd North towards York Mills Station,165
165,165-Weston Rd. North,West,165_1_165,West - 165 Weston Rd North towards Steeles,165
165,165-Weston Rd. North,East,165_0_SIYK*,East - 165 Weston Rd North towards York Mills Station,165
167,167-Pharmacy North,South,167_0_167A,South - 167a Pharmacy North towards Don Mills Station via Consumers Rd,167A
167,167-Pharmacy North,North,167_1_167B,North - 167b Pharmacy North towards Steeles,167B
167,167-Pharmacy North,North,167_1_167A,North - 167a Pharmacy North towards Steeles via Consumers Rd,167A
167,167-Pharmacy North,South,167_0_167B,South - 167b Pharmacy North towards Don Mills Station,167B
168,168-Symington,South,168_0_AVED,South - 168 Symington towards Dundas West Station,168
168,168-Symington,North,168_1_EDAV,North - 168 Symington towards Rogers Rd & Weston Rd,168
169,169-Huntingwood,East,169_0_169A,East - 169a Huntingwood towards Scarborough Centre via Van Horne,169A
169,169-Huntingwood,West,169_1_169B,West - 169b Huntingwood towards Don Mills Station,169B
169,169-Huntingwood,West,169_1_169A,West - 169a Huntingwood towards Don Mills Station via Van Horne,169A
169,169-Huntingwood,East,169_0_169B,East - 169b Huntingwood towards Scarborough Centre,169B
17,17-Birchmount,North,17_1_17A,North - 17a Birchmount towards Highway 7 Extra Fare Required North of Steeles,17A
17,17-Birchmount,South,17_0_17A,South - 17 Birchmount towards Warden Station Extra Fare Required North of Steeles,17
171,171-Mount Dennis,North,171_1_171,North - 171 Mount Dennis towards Jane,171
171,171-Mount Dennis,South,171_0_171,South - 171 Mount Dennis towards Industry St,171
176,176-Mimico GO,East,176_0_176am,East - 176 Mimico GO towards Parklawn,176
176,176-Mimico GO,West,176_1_176am,West - 176 Mimico GO towards Mimico GO Station,176
184,184-Ancaster Park,West,184_1_184,West - 184 Ancaster Park towards De Havilland,184
184,184-Ancaster Park,East,184_0_184,East - 184 Ancaster Park towards Wilson Station,184
189,189-Stockyards,West,189_1_189,West - 189 Stockyards towards Scarlett Rd,189
189,189-Stockyards,East,189_0_189,East - 189 Stockyards towards High Park Station via Keele Station,189
19,19-Bay,South,19_0_19,South - 19 Bay towards Queens Quay and Sherbourne,19
19,19-Bay,North,19_1_19,North - 19 Bay towards Dupont,19
20,20-Cliffside,East,20_0_20,East - 20 Cliffside towards Kennedy Station,20
20,20-Cliffside,West,20_1_20am*,West - 20 Cliffside towards Main Street Station,20
21,21-Brimley,North,21_1_21Cam*,North - 21c Brimley towards Steeles Ave E via Scarborough Centre Station,21C
21,21-Brimley,South,21_0_21C,South - 21c Brimley towards Kennedy Station via Scarborough Centre Station,21C
22,22-Coxwell,North,22_1_22,North - 22 Coxwell towards Coxwell Station,22
22,22-Coxwell,South,22_0_22,South - 22 Coxwell towards Queen,22
23,23-Dawes,South,23_0_23,South - 23 Dawes towards Main Street Station,23
23,23-Dawes,North,23_1_23,North - 23 Dawes towards St Clair,23
24,24-Victoria Park,North,24_1_24B,North - 24b Victoria Park towards Don Mills Station via Consumers Rd,24B
24,24-Victoria Park,South,24_0_24B,South - 24b Victoria Park towards Victoria Park Station via Consumers Rd,24B
24,24-Victoria Park,North,24_1_da24A,North - 24a Victoria Park towards Steeles,24A
24,24-Victoria Park,South,24_0_24Ada,South - 24 Victoria Park towards Danforth,24
25,25-Don Mills,North,25_1_25C,North - 25c Don Mills towards Steeles,25C
25,25-Don Mills,North,25_1_25A,North - 25a Don Mills towards Steeles,25A
25,25-Don Mills,South,25_0_25C,South - 25c Don Mills towards Don Mills Station,25C
25,25-Don Mills,South,25_0_25B,South - 25b Don Mills towards Pape Station,25B
25,25-Don Mills,North,25_1_FEFM,North - 25a Don Mills towards Steeles,25A
25,25-Don Mills,South,25_0_25A,South - 25a Don Mills towards Pape Station,25A
25,25-Don Mills,South,25_0_25A*,South - 25a Don Mills towards Pape Station,25A
26,26-Dupont,West,26_1_26,West - 26 Dupont towards Jane Station,26
26,26-Dupont,East,26_0_26,East - 26 Dupont towards St George Station,26
28,28-Bayview South,West,28_1_28,West - 28 Bayview South towards Davisville Station,28
28,28-Bayview South,East,28_0_28,East - 28 Bayview South towards Brick Works,28
29,29-Dufferin,South,29_0_TREX,South - 29 Dufferin towards Exhibition (Dufferin Gate),29
29,29-Dufferin,North,29_1_EXTR,North - 29 Dufferin towards Wilson Station,29
30,30-High Park North,South,30_0_30A,South - 30a High Park North towards High Park Station,30A
30,30-High Park North,North,30_1_30A,North - 30a High Park North towards Runnymede,30A
300,300-Bloor-Danforth Night Bus,East,300_0_300Bstn,East - 300b Bloor-Danforth towards Kennedy Station,300B
300,300-Bloor-Danforth Night Bus,East,300_0_300B*,East - 300b Bloor-Danforth towards Kennedy Station,300B
300,300-Bloor-Danforth Night Bus,West,300_1_300B*stn,West - 300b Bloor-Danforth towards West Mall via Kipling Station,300B
300,300-Bloor-Danforth Night Bus,East,300_0_300A,East - 300a Bloor-Danforth towards Warden,300A
300,300-Bloor-Danforth Night Bus,West,300_1_T1T3,West - 300a Bloor-Danforth towards Pearson Airport,300A
301,301-Queen,West,301_1_NELO,West - 301l Queen Replacement Bus towards Long Branch,301L
301,301-Queen,East,301_0_301bus,East - 301 Queen Replacement Bus towards Neville Park,301
302,302-Kingston Rd-McCowan Night Bus,North,302_1_302,North - 302 Kingston-McCowan towards Steeles,302
302,302-Kingston Rd-McCowan Night Bus,South,302_0_302,South - 302 Kingston-McCowan towards Victoria Park and Kingston Rd,302
304,304-King,East,304_0_304Bus,East - 304 King Replacement Bus towards Broadview Station,304
304,304-King,West,304_1_304Bus,West - 304 King Replacement Bus towards Dundas West Station,304
306,306-Carlton,West,306_1_306,West - 306 Carlton towards Dundas West Station,306
306,306-Carlton,East,306_0_306,East - 306 Carlton towards Main Street Station,306
307,307-Bathurst Night Bus,South,307_0_307vBA,South - 307 Bathurst towards Exhibition,307
307,307-Bathurst Night Bus,North,307_1_307,North - 307 Bathurst towards Steeles,307
31,31-Greenwood,North,31_1_31Con,North - 31 Greenwood towards Coxwell Station via Greenwood Station,31
31,31-Greenwood,South,31_0_31Con,South - 31 Greenwood towards Queen & Eastern,31
310,310-Spadina,North,310_1_310,North - 310 Spadina towards Spadina Station,310
310,310-Spadina,South,310_0_310,South - 310 Spadina towards Union Station,310
312,312-St.Clair-Junction Night Bus,West,312_1_312,West - 312 St Clair-Junction towards Dundas West Station,312
312,312-St.Clair-Junction Night Bus,East,312_0_312,East - 312 St Clair-Junction towards St Clair Station,312
315,315-Evans - Brown'S Line Night Bus,West,315_1_315,West - 315 Evans-Brown'S Line towards Long Branch via Sherway,315
315,315-Evans - Brown'S Line Night Bus,East,315_0_315,East - 315 Evans-Brown'S Line towards Royal York Station,315
32,32-Eglinton West,West,32_1_32D,West - 32d Eglinton West towards Jane & Emmett,32D
32,32-Eglinton West,West,32_1_32C,West - 32c Eglinton West towards Jane & Lawrence via Trethewey,32C
32,32-Eglinton West,West,32_1_32A,West - 32a Eglinton West towards Renforth Station,32A
32,32-Eglinton West,East,32_0_32D,East - 32d Eglinton West towards Eglinton West Station,32D
32,32-Eglinton West,East,32_0_32C,East - 32 Eglinton West towards Eglinton Station via Eglinton West Station,32
32,32-Eglinton West,East,32_0_32A,East - 32 Eglinton West towards Eglinton Station via Eglinton West Station,32
32,32-Eglinton West,West,32_1_MMEV,West - 32d Eglinton West towards Jane & Emmett,32D
32,32-Eglinton West,East,32_0_PIJA,East - 32 Eglinton West towards Eglinton Station via Eglinton West Station,32
320,320-Yonge Night Bus,North,320_1_320*,North - 320 Yonge towards Steeles via Finch Station,320
320,320-Yonge Night Bus,South,320_0_320,South - 320 Yonge towards Queens Quay,320
320,320-Yonge Night Bus,South,320_0_SYES,South - 320s Yonge Short Turn towards Eglinton Station,320S
320,320-Yonge Night Bus,North,320_1_QQFS,North - 320s Yonge Short Turn,320S
320,320-Yonge Night Bus,South,320_0_FSQQ,South - 320 Yonge towards Queens Quay,320
320,320-Yonge Night Bus,North,320_1_SSSY*,North - 320 Yonge towards Steeles,320
322,322-Coxwell Night Bus,West,322_1_322,West - 322 Coxwell towards Broadview Station,322
322,322-Coxwell Night Bus,East,322_0_322,East - 322 Coxwell towards Victoria Park via Kingston Rd,322
322,322-Coxwell Night Bus,East,322_0_BIWD,East - 322s Coxwell towards Warden via Victoria Park and Danforth,322S
324,324-Victoria Park Night Bus,South,324_0_324,South - 324 Victoria Park towards Kingston Rd,324
324,324-Victoria Park Night Bus,North,324_1_324v,North - 324 Victoria Park towards Steeles via Sheppard and Warden,324
324,324-Victoria Park Night Bus,North,324_1_324,North - 324 Victoria Park towards Steeles via Sheppard and Warden,324
325,325-Don Mills Night Bus,North,325_1_ps325*,North - 325 Don Mills towards Steeles,325
325,325-Don Mills Night Bus,South,325_0_325*,South - 325 Don Mills towards Eastern,325
325,325-Don Mills Night Bus,North,325_1_325,North - 325 Don Mills towards Steeles,325
329,329-Dufferin Night Bus,North,329_1_329con,North - 329 Dufferin towards Steeles via Liberty Village,329
329,329-Dufferin Night Bus,South,329_0_329con,South - 329 Dufferin towards Exhibition (Princes' Gate) via Liberty Village,329
33,33-Forest Hill,South,33_0_33Con,South - 33 Forest Hill towards St Clair West Station,33
33,33-Forest Hill,North,33_1_33Con,North - 33 Forest Hill towards Eglinton (Roselawn),33
332,332-Eglinton West Night Bus,West,332_1_332,West - 332 Eglinton West towards Renforth and Pearson Airport,332
332,332-Eglinton West Night Bus,West,332_1_T1T3,West - 332 Eglinton West towards Eglinton Station,332
332,332-Eglinton West Night Bus,East,332_0_332,East - 332 Eglinton West towards Eglinton Station,332
334,334-Eglinton East Night Bus,East,334_0_334,East - 334 Eglinton East towards Finch and Neilson via Kingston Rd and Morningside,334
334,334-Eglinton East Night Bus,West,334_1_334,West - 334 Eglinton East towards Eglinton Station,334
334,334-Eglinton East Night Bus,East,334_0_334*,East - 334 Eglinton East towards Finch and Neilson via Kingston Rd and Morningside,334
335,335-Jane Night Bus,North,335_1_335,North - 335 Jane towards York University,335
335,335-Jane Night Bus,South,335_0_335,South - 335 Jane towards Jane Station,335
336,336-Finch West Night Bus,East,336_0_WDFS,East - 336 Finch West towards Finch Station,336
336,336-Finch West Night Bus,West,336_1_336,West - 336 Finch West towards Woodbine Race Track,336
337,337-Islington Night Bus,North,337_1_337slpk,North - 337 Islington towards Steeles,337
337,337-Islington Night Bus,South,337_0_337,South - 337 Islington towards Lake Shore,337
339,339-Finch East Night Bus,West,339_1_ne339,West - 339 Finch East towards Finch Station,339
339,339-Finch East Night Bus,East,339_0_339*,East - 339 Finch East towards Markham Rd,339
339,339-Finch East Night Bus,West,339_1_NWTA,West - 339s Finch East Short Turn,339S
34,34-Eglinton East,East,34_0_34C,East - 34c Eglinton East towards Flemingdon Park (Grenoble & Spanbridge),34C
34,34-Eglinton East,East,34_0_34B,East - 34b Eglinton East towards Kennedy Station,34B
34,34-Eglinton East,West,34_1_34C,West - 34 Eglinton East towards Eglinton Station,34
34,34-Eglinton East,East,34_0_34Aam,East - 34a Eglinton East towards Kennedy Station,34A
34,34-Eglinton East,West,34_1_34A,West - 34 Eglinton East towards Eglinton Station,34
341,341-Keele Night Bus,North,341_1_341,North - 341 Keele towards York University,341
341,341-Keele Night Bus,South,341_0_341,South - 341 Keele towards Keele Station,341
343,343-Kennedy Night Bus,North,343_1_343,North - 343 Kennedy towards Steeles,343
343,343-Kennedy Night Bus,South,343_0_343,South - 343 Kennedy towards Kennedy Station,343
35,35-Jane,North,35_1_35B,North - 35b Jane towards Pioneer Village Station via Hullmar,35B
35,35-Jane,South,35_0_35B,South - 35b Jane towards Jane Station via Hullmar,35B
35,35-Jane,North,35_1_35A,North - 35a Jane towards Pioneer Village Station,35A
35,35-Jane,South,35_0_35A,South - 35a Jane towards Jane Station,35A
352,352-Lawrence West Night Bus,West,352_1_T1T3,West - 352 Lawrence West towards Sunnybrook Hospital,352
352,352-Lawrence West Night Bus,West,352_1_352,West - 352 Lawrence West towards Pearson Airport,352
352,352-Lawrence West Night Bus,East,352_0_352,East - 352 Lawrence West towards Sunnybrook Hospital,352
353,353-Steeles Night Bus,East,353_0_353pv,East - 353 Steeles East towards Staines,353
353,353-Steeles Night Bus,West,353_1_353,West - 353 Steeles East towards York University,353
354,354-Lawrence East Night Bus,West,354_1_354B,West - 354 Lawrence East towards Eglinton Station,354
354,354-Lawrence East Night Bus,East,354_0_354B,East - 354 Lawrence East towards Starspray Blvd,354
36,36-Finch West,West,36_1_FIHW,West - 36b Finch West towards Humberwood,36B
36,36-Finch West,West,36_1_36FCon,West - 36f Finch West towards Weston Rd and Milvan via Fenmar,36F
36,36-Finch West,West,36_1_36JCon,West - 36b Finch West towards Humberwood,36B
36,36-Finch West,West,36_1_36DCon,West - 36d Finch West towards Weston Rd and Milvan,36D
36,36-Finch West,East,36_0_36JCon,East - 36a Finch West towards Finch Station,36A
363,363-Ossington Night Bus,South,363_0_363,South - 363 Ossington towards Exhibition,363
363,363-Ossington Night Bus,North,363_1_363,North - 363 Ossington towards Eglinton West Station,363
365,365-Parliament Night Bus,South,365_0_365,South - 365 Parliament towards Queens Quay and Sherbourne,365
365,365-Parliament Night Bus,North,365_1_365,North - 365 Parliament towards Castle Frank Station,365
37,37-Islington,North,37_1_37A,North - 37a Islington towards Woodbine and Humberwood via Rexdale Blvd,37A
37,37-Islington,South,37_0_37B,South - 37 Islington towards Islington Station,37
37,37-Islington,South,37_0_37A,South - 37 Islington towards Islington Station,37
37,37-Islington,North,37_1_37B*,North - 37b Islington towards Steeles,37B
38,38-Highland Creek,East,38_0_38A,East - 38a Highland Creek towards Rouge Hill GO Stn via Scarborough Ctr,38A
38,38-Highland Creek,West,38_1_38A,West - 38 Highland Creek towards Kennedy Station via Scarborough Ctr,38
384,384-Sheppard West Night Bus,West,384_1_384,West - 384 Sheppard West towards Weston Rd,384
384,384-Sheppard West Night Bus,East,384_0_384,East - 384 Sheppard West towards Sheppard-Yonge Station,384
385,385-Sheppard East Night Bus,East,385_0_385,East - 385 Sheppard East towards Meadowvale,385
385,385-Sheppard East Night Bus,West,385_1_385,West - 385 Sheppard East towards Sheppard-Yonge Station,385
39,39-Finch East,West,39_1_39C,West - 39 Finch East towards Finch Station,39
39,39-Finch East,West,39_1_39B,West - 39 Finch East towards Finch Station,39
39,39-Finch East,West,39_1_39A,West - 39 Finch East towards Finch Station,39
39,39-Finch East,East,39_0_39C,East - 39c Finch East towards Victoria Park and Gordon Baker,39C
39,39-Finch East,East,39_0_39B,East - 39b Finch East towards Old Finch and Morningview,39B
39,39-Finch East,East,39_0_TANE,East - 39a Finch East towards Neilson,39A
395,395-York Mills Night Bus,West,395_1_395,West - 395 York Mills towards York Mills Station,395
395,395-York Mills Night Bus,East,395_0_395,East - 395 York Mills towards Meadowvale and Sheppard,395
396,396-Wilson Night Bus,East,396_0_396*,East - 396 Wilson towards York Mills Station,396
396,396-Wilson Night Bus,West,396_1_396*,West - 396 Wilson towards Martin Grove and Steeles,396
396,396-Wilson Night Bus,East,396_0_396,East - 396 Wilson towards York Mills Station,396
40,40-Junction-Dundas West,East,40_0_40B,East - 40 Junction-Dundas West towards Dundas West Station,40
40,40-Junction-Dundas West,West,40_1_40A,West - 40a Junction-Dundas West towards Kipling Station,40A
40,40-Junction-Dundas West,East,40_0_40A,East - 40 Junction-Dundas West towards Dundas West Station,40
41,41-Keele,South,41_0_41,South - 41 Keele towards Keele Station,41
41,41-Keele,North,41_1_41pv,North - 41 Keele towards Pioneer Village Station,41
42,42-Cummer,East,42_0_42A,East - 42a Cummer towards Middlefield,42A
42,42-Cummer,West,42_1_42A,West - 42 Cummer towards Finch Station,42
43,43-Kennedy,South,43_0_43ASun,South - 43 Kennedy towards Kennedy Station,43
43,43-Kennedy,South,43_0_43B,South - 43 Kennedy towards Kennedy Station,43
43,43-Kennedy,North,43_1_43B,North - 43b Kennedy towards Scarborough Centre,43B
43,43-Kennedy,North,43_1_43A,North - 43a Kennedy towards Steeles,43A
44,44-Kipling South,North,44_1_44,North - 44 Kipling South towards Kipling Station,44
44,44-Kipling South,South,44_0_44,South - 44 Kipling South towards Lake Shore,44
45,45-Kipling,North,45_1_45Aam,North - 45a Kipling towards Steeles,45A
45,45-Kipling,South,45_0_45B,South - 45 Kipling towards Kipling Station,45
45,45-Kipling,South,45_0_45Aam,South - 45 Kipling towards Kipling Station,45
45,45-Kipling,North,45_1_45Bam,North - 45b Kipling towards Carlingview via Belfield,45B
46,46-Martin Grove,South,46_0_NTKP,South - 46e Martin Grove Express towards Kipling Station,46E
